station_id,date_from,date_to,altitude,latitude,longitude,name,state,dtm_altitude1
"3098",1995/09/01,2022/03/02,"387","51.2452","7.6425",L�denscheid,Nordrhein-Westfalen,"388"
"4127",2005/01/01,2022/03/02,"347","50.9906","7.6958",Reichshof-Eckenhagen,Nordrhein-Westfalen,"346.5"
"5619",2004/12/01,2022/03/02,"360","51.1637","7.4234",Wipperf�rth-Gardeweg,Nordrhein-Westfalen,"360.300018310547"
"6313",2004/12/01,2022/03/02,"440","51.2488","7.4672",Breckerfeld-Wengeberg,Nordrhein-Westfalen,"439.899993896484"
"13713",2007/11/01,2022/03/02,"386","51.0899","7.6289",Meinerzhagen-Redlendorf,Nordrhein-Westfalen,"387.800018310547"
"14183",2016/06/01,2022/03/02,"297","51.1433","7.3656",H�ckeswagen/Talsperre,Nordrhein-Westfalen,"297"
"613",2004/11/01,2022/03/02,"206","51.5677","9.2324",Borgentreich,Nordrhein-Westfalen,"205"
"644",2005/01/01,2022/03/02,"150","51.7049","9.1738",Brakel,Nordrhein-Westfalen,"150.199996948242"
"5347",1995/09/01,2022/02/28,"236","51.5039","9.1118",Warburg,Nordrhein-Westfalen,"236.100006103516"
"934",2004/10/01,2022/03/02,"88","51.7835","8.5658",Delbr�ck,Nordrhein-Westfalen,"87.7000045776367"
"3028",1995/09/01,2022/03/02,"157","51.7854","8.8388","Lippspringe, Bad",Nordrhein-Westfalen,"156.800003051758"
"4313",2004/08/01,2022/03/02,"370","51.4966","8.4342",R�then,Nordrhein-Westfalen,"370.399993896484"
"4368",2004/10/01,2022/03/02,"93","51.7098","8.5796",Salzkotten,Nordrhein-Westfalen,"92.0999984741211"
"5699",2004/11/01,2022/03/02,"312","51.5427","8.7784",W�nnenberg-Eilern,Nordrhein-Westfalen,"311.700012207031"
"14185",2017/08/01,2022/03/02,"304","51.605","8.8175",Lichtenau-Ebbinghausen (HRB),Nordrhein-Westfalen,"200.300003051758"
"14186",2017/08/01,2022/03/02,"291","51.5319","8.7289",Gollentaler Grund (HRB),Nordrhein-Westfalen,"288.800018310547"
"14187",2017/08/01,2021/01/07,"226","51.5831","8.8478",Husen-Dalheim (HRB),Nordrhein-Westfalen,"225.699996948242"
"14145",2011/04/18,2022/03/02,"71","51.514","7.3817",Dortmund/Oespeler Bach,Nordrhein-Westfalen,"70.5"
"14172",2012/09/11,2022/02/24,"113","51.3665","7.5456",Hagen-Hohenlimburg,Nordrhein-Westfalen,"113.200004577637"
"14173",2012/09/11,2022/03/02,"85","51.383","7.3848",Wetter,Nordrhein-Westfalen,"86.5"
"13700",2008/05/01,2022/03/02,"203","51.3329","7.3412",Gevelsberg-Oberbr�king,Nordrhein-Westfalen,"199.800003051758"
"14182",2016/06/01,2022/03/02,"193","51.2901","7.2759",Schwelm (Kl�rwerk),Nordrhein-Westfalen,"194.100006103516"
"216",2004/10/01,2022/02/25,"298","51.1143","7.8807",Attendorn-Neulisternohl,Nordrhein-Westfalen,"298.100006103516"
"1300",2004/06/01,2022/03/02,"351","51.254","8.1565",Eslohe,Nordrhein-Westfalen,"354.800018310547"
"2483",1995/10/12,2022/03/02,"839","51.1803","8.4891",Kahler Asten,Nordrhein-Westfalen,"838.5"
"2947",2006/10/01,2022/03/02,"286","51.1333","8.0348",Lennestadt-Theten,Nordrhein-Westfalen,"287"
"3215",2007/06/01,2022/03/02,"375","51.1683","8.7125",Medebach-Berge,Nordrhein-Westfalen,"374.899993896484"
"4400",2004/08/01,2022/03/02,"171","51.5439","8.1808","Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen,"170.5"
"4488",2006/08/01,2022/03/02,"443","51.2127","8.2672",Schmallenberg-Sellinghausen,Nordrhein-Westfalen,"441.800018310547"
"5360",2007/07/01,2022/03/02,"331","51.4319","8.2665",Warstein-Hirschberg,Nordrhein-Westfalen,"337.600006103516"
"6264",2004/06/01,2022/03/02,"457","51.414","8.65",Brilon-Th�len,Nordrhein-Westfalen,"457.300018310547"
"7330",2005/10/01,2022/03/02,"159","51.4633","7.978",Arnsberg-Neheim,Nordrhein-Westfalen,"158.800003051758"
"14170",2012/09/11,2022/03/02,"348","51.3384","8.2709",Meschede/Hennetalsperre,Nordrhein-Westfalen,"348.800018310547"
"14171",2012/09/11,2022/03/02,"310","51.3541","7.9625",Sundern/Sorpetalsperre,Nordrhein-Westfalen,"304"
"3499",2006/07/01,2022/03/02,"292","51.2915","7.853",Neuenrade-Blintrop,Nordrhein-Westfalen,"293.700012207031"
"5468",2006/07/01,2020/10/01,"418","50.9377","7.8475",Wenden-D�rnscheid,Nordrhein-Westfalen,"416.800018310547"
"389",2009/11/01,2022/03/02,"436","51.0148","8.4318","Berleburg, Bad-Arfeld",Nordrhein-Westfalen,"433.5"
"390",2004/07/01,2022/03/02,"610","50.9837","8.3683","Berleburg, Bad-St�nzel",Nordrhein-Westfalen,"612.200012207031"
"796",2004/11/01,2022/03/02,"412","50.7556","8.1257",Burbach-W�rgendorf,Nordrhein-Westfalen,"413.399993896484"
"4692",2008/03/01,2018/12/01,"229","50.8534","7.9966",Siegen (Kl�ranlage),Nordrhein-Westfalen,"229"
"3031",2004/07/01,2022/03/02,"92","51.6336","8.3945",Lippstadt-B�kenf�rde,Nordrhein-Westfalen,"93.4000015258789"
"5480",2003/09/10,2022/03/02,"85","51.5763","7.8879",Werl,Nordrhein-Westfalen,"84.5999984741211"
"6276",2004/11/01,2019/11/02,"235","51.4895","7.7813",Fr�ndenberg-Hohenheide,Nordrhein-Westfalen,"235.100006103516"
"14143",2011/04/18,2022/03/02,"54","51.6073","7.5309",L�nen/Seseke,Nordrhein-Westfalen,"51.2999992370605"
